u_num,u_den,v_num,v_den,inx,d,c,b,a
-817,660,-3622925,12225132,8,44310257,41084175,31669120,2164632
-477,692,36696,8687,7,20615673,18796760,15365639,2682440
-477,692,36696,8687,20,3393603777,3134081336,2448718655,664793200
-477,692,2136525,340912,7,20615673,18796760,15365639,2682440
-477,692,2136525,340912,999,860433206740544424461178566577,845916519446670855349916469440,426695309330591314699902838264,232356172746879400195244503985
-477,692,293524080,20105203,20,3393603777,3134081336,2448718655,664793200
-477,692,293524080,20105203,999,770058335413161561332232533637348897,753804167252090808643708483252110815,411818019078719580045468117864820504,9591049664677699583683770965828240
-477,692,1688076136,-1490944633,999,860433206740544424461178566577,845916519446670855349916469440,426695309330591314699902838264,232356172746879400195244503985
-477,692,1688076136,-1490944633,7,20615673,18796760,15365639,2682440
-2433,920,20632147,117135680,4,12197457,11289040,8282543,5870000
-2433,920,20632147,117135680,999,1098951104967340650758908677898497,938322348395206180783921371381503,837343681998415354786117892702000,661717340341387736183451188650240
-2433,920,450668400,124346123,999,1098951104967340650758908677898497,938322348395206180783921371381503,837343681998415354786117892702000,661717340341387736183451188650240
-2433,920,450668400,124346123,4,12197457,11289040,8282543,5870000
936,-5281,1717941,427352,41,25866132798297,23449050222680,18776929334105,12035933588696
936,-5281,1717941,427352,27,64244765937,55479193841,52289667920,17111129720
936,-5281,435405885,97858612,27,64244765937,55479193841,52289667920,17111129720
936,-5281,435405885,97858612,999,143815319845041706536379757727978701337,136110768524155928027921277166361459225,95884862297658561264861216463908416840,13608271155404460962098120468158675416
1000,47,330353,48940,1,422481,414560,217519,95800
1000,47,330353,48940,94,1796867575393608033006561,1771894249938641198780200,867970652747799735398360,21904850878998429166561
1000,47,3521543,9580960,94,1796867575393608033006561,1771894249938641198780200,867970652747799735398360,21904850878998429166561
1000,47,3521543,9580960,1,422481,414560,217519,95800
1000,47,217652623,711374540,17,1679142729,1670617271,632671960,50237800
1000,47,217652623,711374540,999,36280729307969707694434400989916169,36044680076244066913472370537644560,14361515186134283130657577672065800,6779585594143299049521285438556169
1152,-2345,19005,3688,31,597385645737,544848079888,443873167360,142485966505
1152,-2345,19005,3688,35,1682315502153,1657554153472,801719896720,468405247415
1152,-2345,-15461,13160,35,1682315502153,1657554153472,801719896720,468405247415
1152,-2345,-15461,13160,31,597385645737,544848079888,443873167360,142485966505
135,1208,1744,495,40,7082388012473,5819035124295,5611660306848,4408757988560
135,1208,1744,495,30,521084370137,435210480720,372623278887,369168502640
135,1208,-977657,480240,30,521084370137,435210480720,372623278887,369168502640
135,1208,-977657,480240,40,7082388012473,5819035124295,5611660306848,4408757988560
135,1208,643339696,-316495305,30,521084370137,435210480720,372623278887,369168502640
135,1208,643339696,-316495305,999,2265789392797274515604226132668465273,1866167026450794109701619679867961465,1782117306643366978549095424774579760,1426510692855766248912025673081859648
135,1208,-4412198057,2084287320,40,7082388012473,5819035124295,5611660306848,4408757988560
135,1208,-4412198057,2084287320,999,1421397866904742247139016738137318212393,1219004319966735853554274354225359606768,1114510766165684886696398674725379347360,758441571352044505628597981811934264535
1376,-705,-81065,89412,25,39871595729,36295982895,29676864960,11262039896
1376,-705,-81065,89412,48,230791363907489,220093974949320,148739531603136,32467583677535
1376,-705,-92654145,6985268,85,29998124444432653523113,26432693245716083746520,23415987016826083521705,12036780855644297767488
1376,-705,-92654145,6985268,77,9649219915259253551497,8407785501400674212160,7599957410902753037705,4280294741983707700872
1376,-705,418173665,98681004,999,89029723648173280495021838818241,83041568798209452095966054853240,62320327839927608041201031043009,20838040642548708645222374661440
1376,-705,418173665,98681004,25,39871595729,36295982895,29676864960,11262039896
1376,-705,-175992537,3161713180,25,39871595729,36295982895,29676864960,11262039896
1376,-705,-175992537,3161713180,999,89029723648173280495021838818241,83041568798209452095966054853240,62320327839927608041201031043009,20838040642548708645222374661440
-1581,1520,-12065,12396,8,44310257,41084175,31669120,2164632
-1581,1520,-12065,12396,90,864745895259187110399737,812937165464036006213895,591519768111748983750888,57810716855047169409080
-1581,1520,8583400,714723,64,10816708329115215113,9585769407872803575,8510180374729994520,985735303963754488
-1581,1520,8583400,714723,8,44310257,41084175,31669120,2164632
-1581,1520,151241432,18609075,90,864745895259187110399737,812937165464036006213895,591519768111748983750888,57810716855047169409080
